Start,6D6D6D,
End,FFFFFF,
,,
x,y,Luminance
10.226880E-3,4.954591E-3,22.583345
10.242960E-3,7.844754E-3,22.885939
10.259041E-3,5.367477E-3,22.626574
10.275121E-3,6.193249E-3,22.713030
10.291200E-3,7.019002E-3,22.799484
10.307280E-3,10.322050E-3,23.145306
10.323361E-3,11.147840E-3,23.231764
10.339441E-3,9.909165E-3,23.102077
10.355521E-3,6.193249E-3,22.713030
10.371600E-3,7.019002E-3,22.799484
10.387680E-3,7.431888E-3,22.842712
10.403761E-3,9.496298E-3,23.058851
10.419841E-3,5.367477E-3,22.626574
10.435920E-3,6.606134E-3,22.756258
10.452000E-3,5.780381E-3,22.669804
10.468081E-3,2.477296E-3,22.323978
10.484161E-3,5.367477E-3,22.626574
10.500241E-3,7.844754E-3,22.885939
10.516320E-3,8.670544E-3,22.972397
